type,api_or_group_id,name,comment,uri
2,0,"游客API分组","不需要登录即可访问的API",
2,1,"登录API分组","登录即可访问的API",
2,2,"手动控制设备API分组","",
2,3,"策略管理API分组","",
2,4,"电价管理API分组","",
2,5,"用户管理API分组","相当于最高管理员，分配时应该慎重",
1,1,"查询储能系统基础设置","",/api/bess/base
1,2,"查询EMS状态","",/api/bess/ems_state
1,3,"查询设备配置","",/api/bess/device
1,4,"查询电价模板","",/api/bess/price_strategy
1,5,"查询时段模板","",/api/bess/period_strategy
1,6,"查询所有时段与电价模板","",/api/bess/period_price_strategy
1,7,"查询能量管理策略基础配置","",/api/bess/planned_strategy
1,8,"查询能量管理手动模式","",/api/bess/manual_control
1,9,"查询能量统计","",/api/bess/energy_statistics
1,10,"查询PCS实时状态","",/api/pcs/real_state
1,11,"查询PCS历史状态","",/api/pcs/history_state
1,12,"查询PCS状态按小时统计","",/api/pcs/hour_state
1,13,"查询BMS基本信息","",/api/bms/base
1,14,"查询架构实时状态","",/api/bms/real_state
1,15,"查询架构历史状态","",/api/bms/history_state
1,16,"查询簇单体实时数据","",/api/bms/real_rack_detail
1,17,"查询簇单体历史数据","",/api/bms/history_rack_detail
1,18,"查询所有电表实时状态","",/api/em/real_state
1,19,"查询指定电表历史状态","",/api/em/history_state
1,20,"查询设备舱实时状态","",/api/cabin/real_state
1,21,"查询设备舱历史状态","",/api/cabin/history_state
1,22,"查询液冷实时状态","",/api/lc/real_state
1,23,"查询液冷历史状态","",/api/lc/history_state
1,24,"查询风冷实时状态","",/api/ac/real_state
1,25,"查询风冷历史状态","",/api/ac/history_state
1,26,"查询系统告警","",/api/warning
1,27,"查询告警历史","",/api/history_warning
1,28,"设置EMS状态","",/bess/ems_state
1,29,"设置电价模板","",/bess/price_strategy
1,30,"删除电价模板","",/bess/del/price_strategy
1,31,"设置时段模板","",/bess/period_strategy
1,32,"删除时段模板","",/bess/del/period_strategy
1,33,"设置模板适用月份","",/bess/period_price_strategy
1,34,"设置能量管理策略基础配置","",/bess/planned_strategy
1,35,"删除能量管理策略基础配置","",/bess/del/planned_strategy
1,36,"设置能量管理手动模式","",/bess/manual_control
1,37,"设置EMS并簇","",/bess/ems_control
1,38,"告警手动恢复","",/warning
1,39,"设置日志等级","",/log
1,40,"登录","",/auth/login
1,41,"刷新Token","",/auth/refresh_token
1,42,"登出","",/auth/logout
1,43,"添加账户","",/auth/account
1,44,"删除账户","",/auth/account/del
1,45,"修改账户","",/auth/account/update
1,46,"查询所有账户","",/api/auth/account
1,47,"查询所有角色","",/api/auth/role
1,48,"查询变压器实时状态","",/api/transformer/real_state
1,49,"查询变压器历史状态","",/api/transformer/history_state